month_integer;Estimate;Std. Error;t value;Pr(>|t|);predicted;Age (by nb adults) group:;value;value_std
-8;1932,7629510796;34,4891591629398;-0,348503390810861;0,727483840744353;disposable_income;Below 30 yrs old;-0,00618042823159881;0,0177341982734195
-7;1953,65610954989;33,2172250098102;0,267137593618132;0,789379496936323;disposable_income;Below 30 yrs old;0,00456275669557216;0,017080174429122
-6;1981,53317337843;34,4059865251898;1,0681464796083;0,285530610265786;disposable_income;Below 30 yrs old;0,0188970399664539;0,0176914312102443
-4;1903,42702640176;34,7596068790407;-1,18975780526666;0,234225039259345;disposable_income;Below 30 yrs old;-0,0212648523636301;0,0178732614902776
-3;2012,6833600382;39,2853834755633;1,72839906440888;0,0840078943226402;disposable_income;Below 30 yrs old;0,0349143509095398;0,020200399102556
-2;1901,13242615377;43,3722909912975;-1,00640553779112;0,314292465135666;disposable_income;Below 30 yrs old;-0,0224447273372078;0,0223018718542326
-1;1163,19196800761;40,7750921356778;-19,1683336823806;7,86109002779534e-78;disposable_income;Below 30 yrs old;-0,401890985708284;0,0209664017941057
0;1496,06004690224;35,7161587738743;-12,5635709016976;2,04112725805603e-35;disposable_income;Below 30 yrs old;-0,230731448819579;0,0183651169420632
1;1481,62284477562;34,2545899937631;-13,5210987871349;1,30628485568969e-40;disposable_income;Below 30 yrs old;-0,238155004836626;0,0176135836728908
2;1541,03711463276;35,8185742311129;-11,2719569114126;5,88405780030555e-29;disposable_income;Below 30 yrs old;-0,207604406692465;0,0184177785919559
3;1522,26547552252;37,2522080670141;-11,3420676624457;2,72501423179874e-29;disposable_income;Below 30 yrs old;-0,217256714199451;0,019154947815979
4;1536,52730471482;38,5109338848644;-10,6010214267935;7,46194795644738e-26;disposable_income;Below 30 yrs old;-0,209923334297581;0,0198021799830542
5;1531,90325595784;39,774536482755;-10,3804926605561;7,155503475629e-25;disposable_income;Below 30 yrs old;-0,212301003091848;0,0204519197724161
-5;1944,7825399941;0;0;0;disposable_income;Below 30 yrs old;0;0
-8;113,212741183197;39,7759193293367;-0,587026751155105;0,557224889595221;savings;Below 30 yrs old;-0,0120062414269612;0,0204526308270216
-7;143,86179528204;38,2573301337797;0,190800700812361;0,848693181792708;savings;Below 30 yrs old;0,00375338900397425;0,0196717778708029
