month,disposable_income,spendings,savings
-6,2069.820115,1889.930155,119.8228044
-5,2054.236254,1906.913369,126.8175084
-4,2018.107419,1896.754782,58.66981816
-3,2014.613061,1887.845808,100.2381128
-2,2094.844457,1924.726692,121.8935037
-1,2515.762145,1997.721189,446.1066575
0,1193.029758,1868.495601,-560.2480517
1,1407.145541,1713.203113,-260.6637933
2,1480.1227,1697.51542,-157.1182632
3,1500.737151,1631.814847,-81.66311536
4,1476.368869,1605.65813,-72.72332463
5,1426.611043,1620.189097,-109.6972186
